"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.14285714285714285,0.34992710611188244,0,1,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.30357142857142855,0.56441002247425409,0,2,0.0,0.25,0.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3,0.4107142857142857,0.64853642133338851,0,3,0.0,1.0,0.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,3,0,1,1,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.4,0.375,0.58439529185548467,0,2,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,1,0,0,1,1,0,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0.5,0.44642857142857145,0.67927595005750885,0,3,0.0,1.0,0.0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,0,1,1,0,0,1,1,0,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1
0.6,0.6964285714285714,0.79999202802150426,0,3,0.0,1.0,1.0,2,0,1,2,0,0,0,1,0,3,1,1,1,0,1,1,0,2,1,1,2,0,0,1,1,1,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,1,0,0,0,1,1
0.7,0.7321428571428571,0.87609261228829161,0,3,0.0,1.25,0.0,2,0,1,3,0,0,0,1,0,2,2,1,1,0,1,2,0,2,1,1,2,0,0,1,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,1,2,0,2,0,0,0,1,0
0.8,0.7142857142857143,0.92029276619465172,0,3,0.0,1.0,0.0,2,0,0,3,0,0,0,1,0,2,3,1,1,0,0,2,0,1,1,0,1,0,0,1,1,2,0,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,2,2,0,0,2,1,2,0,1,0,0,0,1,0
0.9,0.5892857142857143,0.77406131434618708,0,3,0.0,1.0,0.0,2,0,0,3,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0,1,0,0,2,1,2,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,2,1,2,0,1,0,0,0,1,0
1.0,0.7321428571428571,0.91595132880229724,0,4,0.0,1.0,0.5,3,1,0,4,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,1,1,0,0,3,2,2,1,0,1,1,0,1,0,1,0,2,1,1,0,0,0,0,1,1,0,0,2,1,2,0,1,0,1,0,0,0
1.1,0.5892857142857143,0.8818970160618389,0,4,0.0,1.0,0.0,3,1,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,2,2,2,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,1,2,0,1,0,0,0,1,1
1.2,0.5714285714285714,0.96097314621955088,0,5,0.0,1.0,0.0,3,1,1,5,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,1,2,2,2,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
1.3,0.6964285714285714,0.94339135299087795,0,4,0.0,1.0,0.0,4,1,1,4,0,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,1,1,2,2,2,2,1,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0
1.4,0.6785714285714286,0.92788436119761275,0,4,0.0,1.0,0.0,3,1,0,4,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,2,2,2,1,1,2,1,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0
1.5,0.7142857142857143,0.95831484749990992,0,5,0.0,1.0,0.0,3,2,0,5,0,0,0,1,0,2,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,2,2,0,0,1,0,0,0,0
1.6,0.44642857142857145,0.65245806808732554,0,3,0.0,1.0,0.0,1,1,0,3,0,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
1.7,0.5535714285714286,0.86436687930578227,0,4,0.0,1.0,0.0,2,1,0,4,0,0,1,0,1,0,1,0,3,0,0,2,0,0,1,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,2,0,0,0,0,0,1,0
1.8,0.5892857142857143,0.99600605481316795,0,4,0.0,1.0,0.0,1,1,0,2,0,0,1,0,1,1,0,0,4,0,0,1,0,2,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,1,0,1,0,0,0,3,0
1.9,1.0,1.4015297764534702,0,6,0.0,1.0,1.0,1,1,1,3,0,0,2,0,1,2,0,1,6,2,1,1,0,2,5,0,6,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,3,2,0,1,1,0,2,0,1,0,0,0,3,0
