"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.10000000000000001,0.00033333333333333338,0.00047140452079103164,0.00033333333333333338,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000001,0.00080000000000000026,0.00087177978870813465,0.00080000000000000026,0.0030000000000000001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.002,0.001,0.002,0.0,0.001,0.002,0.003,0.003,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0
0.29999999999999999,0.0010333333333333336,0.00098262686486557858,0.0010333333333333336,0.0030000000000000001,0.0,0.001,0.001,0.002,0.001,0.0,0.001,0.002,0.001,0.003,0.001,0.003,0.0,0.001,0.002,0.003,0.003,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.0
0.40000000000000002,0.00096666666666666711,0.00087496031656044576,0.00096666666666666711,0.0030000000000000001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.002,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0
0.5,0.0012000000000000003,0.00097979589711327114,0.0012000000000000003,0.0040000000000000001,0.001,0.002,0.001,0.001,0.0,0.001,0.002,0.0,0.001,0.003,0.001,0.002,0.001,0.0,0.002,0.003,0.004,0.0,0.001,0.001,0.001,0.0,0.0,0.002,0.002,0.0,0.002,0.001,0.001,0.001,0.001,0.001,0.001
0.59999999999999998,0.0017333333333333339,0.0011813363431112897,0.0017333333333333339,0.0050000000000000001,0.001,0.002,0.002,0.003,0.0,0.003,0.003,0.001,0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.003,0.004,0.0,0.001,0.001,0.001,0.0,0.0,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.001
0.69999999999999996,0.0017666666666666673,0.0014985177861992684,0.0017666666666666673,0.0060000000000000001,0.001,0.0030000000000000001,0.0015,0.004,0.0,0.002,0.004,0.001,0.001,0.006,0.002,0.003,0.001,0.002,0.0,0.003,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.003,0.003,0.002,0.002,0.004,0.001,0.001,0.003,0.001,0.0
0.80000000000000004,0.0017333333333333341,0.0014590712418826193,0.0017333333333333341,0.0050000000000000001,0.00025000000000000001,0.0030000000000000001,0.002,0.003,0.0,0.002,0.005,0.001,0.0,0.005,0.001,0.002,0.001,0.002,0.001,0.004,0.003,0.0,0.002,0.003,0.0,0.0,0.0,0.003,0.003,0.002,0.002,0.003,0.0,0.001,0.002,0.001,0.0
0.90000000000000002,0.001433333333333334,0.0010857664983268222,0.001433333333333334,0.0040000000000000001,0.001,0.002,0.001,0.003,0.0,0.001,0.003,0.001,0.0,0.003,0.001,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.004,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.003,0.0,0.001,0.002,0.001,0.0
1.0,0.0017333333333333339,0.0012364824660660934,0.0017333333333333339,0.0050000000000000001,0.001,0.002,0.0015,0.005,0.001,0.002,0.002,0.001,0.0,0.004,0.001,0.001,0.003,0.003,0.002,0.002,0.001,0.0,0.004,0.003,0.001,0.001,0.0,0.002,0.002,0.002,0.002,0.003,0.001,0.001,0.001,0.0,0.001
